Genre,Age,Annual Income (k$),Spending Score (1-100)
1,19,15,39
1,21,15,81
0,20,16,6
0,23,16,77
0,31,17,40
0,22,17,76
0,35,18,6
0,23,18,94
1,64,19,3
0,30,19,72
1,67,19,14
0,35,19,99
0,58,20,15
0,24,20,77
1,37,20,13
1,22,20,79
0,35,21,35
1,20,21,66
1,52,23,29
0,35,23,98
1,65,63,52
0,19,63,54
0,38,64,42
1,19,64,46
0,18,65,48
0,19,65,50
0,63,65,43
0,49,65,59
0,51,67,43
0,50,67,57
1,27,67,56
0,38,67,40
0,40,69,58
1,39,69,91
0,23,70,29
0,31,70,77
1,43,71,35
1,40,71,95
1,59,71,11
1,38,71,75
1,47,71,9
1,39,71,75
0,25,72,34
0,31,72,71
1,20,73,5
0,29,73,88
0,44,73,7
1,32,73,73
1,19,74,10
